MES,Campaña,Objetivo,Impresiones,Alcance,Interacciones,Clics,CTR,Mensajes,Visitas,Carritos,Pagos Iniciados,Compras,CPA ,Valor de conversión,ROAS,Importe gastado (USD),Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7
03-2026,STP - Conversiones - Campaña Advantage+,Ventas,715779,198702,44000,25934,"3,6",148,12528,1896,875,260,"$2,40","$7.227,4","11,43","$632,6",,,,,,
04-2026,STP - Tráfico IG,Tráfico,63024,46337,6288,4800,"7,6",29,143,2,1,,"$0,01",,,"$29,3",,,,,,
04-2026,STP - Conversiones - Tráfico Frio,Ventas,297840,107577,7088,7502,"2,5",42,2973,268,165,24,"$7,18","$745,8","4,33","$172,4",,,,,,
04-2026,STP - Conversiones - Tráfico Caliente,Ventas,243757,57074,13981,7797,"3,2",34,3472,437,211,51,"$3,47","$1.722,6","9,72","$177,2",,,,,,
04-2026,STP - Conversiones - Campaña Advantage+,Ventas,724481,243044,36491,22668,"3,1",62,10330,1024,530,121,"$4,47","$4.196,8","7,76","$540,6",,,,,,
05-2026,STP - Tráfico IG,Tráfico,58744,41794,7075,3695,"6,3",13,140,5,4,,"$0,01",,,"$34,7",,,,,,
05-2026,STP - Conversiones - Campaña Advantage+,Ventas,1108934,271439,43234,46074,"4,2",41,22638,2288,1165,335,"$2,93","$13.384,5","13,64","$981,4",,,,,,
05-2026,STP - Conversiones - Tráfico Caliente,Ventas,70538,25486,5385,2602,"3,7",2,1385,143,67,11,"$5,20","$286,4","5,00","$57,3",,,,,,
06-2026,STP - Tráfico IG,Tráfico,38182,27148,6092,2383,"6,2",4,70,2,,,"$0,01",,,"$26,8",,,,,,
06-2026,STP - Conversiones - Tráfico Caliente,Ventas,125641,46719,1992,2665,"2,1",10,901,119,60,17,"$3,72","$585,4","9,25","$63,3",,,,,,
06-2026,STP - Conversiones - Campaña Advantage+,Ventas,837908,223302,32010,32210,"3,8",94,14758,1550,811,259,"$3,39","$9.820,7","11,17","$879,2",,,,,,
